ID;Credits;CreditSupplyProportion;AdditionalItem;CreditMultiplier;OpenedBy
733;291;0.000242;None;High;733
734;1450;0.001208;Knife;High;734
735;298;0.000248;None;High;735
736;290;0.000241;Gold Cake;?;343
737;290;0.000241;None;Medium High;736
738;441;0.000367;None;High;438
739;875;0.000729;Cyber Cat;Low;739
740;441;0.000367;None;Low;740
741;298;0.000248;Book;Medium;320
742;1456;0.001213;None;Low;0
743;1453;0.001210;None;Low;25
744;874;0.000728;Newspaper;Low;744
745;299;0.000249;None;Medium;745
746;260;0.000216;None;Low;0
747;293;0.000244;None;Very High;747
748;443;0.000369;Newspaper;Medium;748
749;588;0.000490;None;Low;749
750;392;0.000326;Trash Basket;Low;0
751;443;0.000369;None;Low;0
752;290;0.000241;Sushi Roll;Medium High;752
753;1454;0.001211;None;High;753
754;442;0.000368;None;Low;1383
755;291;0.000242;None;Low;0
756;586;0.000488;Book;Medium;756
757;295;0.000245;None;Medium;757
758;441;0.000367;Cyber Penguin;Low;758
759;396;0.000330;None;Medium;0
760;296;0.000246;Trash Basket;Low;760
761;585;0.000487;None;Low;761
762;437;0.000364;Trash Basket;Low;287
763;442;0.000368;None;Low;0
764;293;0.000244;None;Medium High;764
765;298;0.000248;Knife;Low;765
766;290;0.000241;Pocket Knife;Low;766
767;872;0.000726;None;Low;11
768;297;0.000247;Wooden Cup;Low;768
769;298;0.000248;Trash Basket;Low;1606
770;291;0.000242;Wrench;Low;0
771;295;0.000245;None;Low;771
772;872;0.000726;Wooden Cup;Medium;772
773;1450;0.001208;None;Medium;778
774;588;0.000490;Wooden Cup;Medium;774
775;298;0.000248;1 Dogecoin;Low;775
776;588;0.000490;Wooden Cup;Medium High;776
777;580;0.000483;Cyber Dog;Medium;1682
778;587;0.000489;None;Medium High;0
779;871;0.000725;None;?;0
780;1452;0.001210;None;Low;780
781;395;0.000329;Sushi Roll;Medium;0
782;296;0.000246;Cyber Dog;Low;209
783;442;0.000368;None;Low;0
784;443;0.000369;None;Low;0
785;296;0.000246;None;Low;785
786;294;0.000245;None;High;938
787;586;0.000488;Sandwich;Low;787
788;298;0.000248;Newspaper;Low;788
789;293;0.000244;None;Low;789
790;1450;0.001208;Book;Medium;790
791;295;0.000245;None;Low;0
792;440;0.000366;None;High;376
793;295;0.000245;Sandwich;Medium High;793
794;299;0.000249;None;Low;794
795;291;0.000242;None;Medium;795
796;442;0.000368;None;Low;420
797;295;0.000245;Pocket Knife;Low;0
798;291;0.000242;Sushi Roll;Low;798
799;260;0.000216;1 Dogecoin;Medium;0
800;291;0.000242;Sandwich;Low;0
801;290;0.000241;Book;Low;801
802;299;0.000249;Cyber Cat;Low;0
803;264;0.000220;None;Low;0
804;436;0.000363;Book;Low;0
805;299;0.000249;None;Medium;0
806;588;0.000490;None;Low;806
807;298;0.000248;None;Medium High;0
808;295;0.000245;Trash Basket;Medium High;1644
809;296;0.000246;Trash Basket;Medium High;1201
810;295;0.000245;Cyber Hamster;Medium High;746
811;298;0.000248;Trash Basket;Low;810
812;293;0.000244;Cyber Cat;High;821
813;292;0.000243;Book;Medium;317
814;580;0.000483;Pocket Knife;Low;814
815;440;0.000366;None;Low;1993
816;438;0.000365;None;Medium;816
817;585;0.000487;Golden Bitcoin Skull of Fate;Medium High;1986
818;299;0.000249;Trash Basket;Medium;818
819;874;0.000728;Wrench;Low;819
820;296;0.000246;Newspaper;Medium High;820
821;391;0.000325;Cyber Cat;Medium High;0
822;584;0.000486;Wooden Cup;Low;822
823;580;0.000483;None;Medium;823
824;439;0.000365;Pocket Knife;Low;824
825;296;0.000246;None;Medium;825
826;391;0.000325;None;Low;0
827;441;0.000367;Wooden Cup;High;227
828;296;0.000246;Pocket Knife;Low;828
829;293;0.000244;Cheat Codes;High;829
830;267;0.000222;Newspaper;Low;0
831;296;0.000246;Cup of Scotch;Low;267
832;294;0.000245;None;Medium High;64
833;439;0.000365;None;Medium High;1791
834;1455;0.001212;None;Low;834
835;298;0.000248;Cup of Scotch;Medium;0
836;290;0.000241;None;Medium;836
837;293;0.000244;Wooden Cup;Very High;873
838;298;0.000248;None;Low;838
839;1450;0.001208;None;Medium;839
840;522;0.000435;Cyber Dog;Low;0
841;268;0.000223;Newspaper;Low;0
842;586;0.000488;Newspaper;Medium High;842
843;440;0.000366;Wooden Cup;Low;843
844;292;0.000243;1st Edition Book;Low;844
845;291;0.000242;None;Low;845
846;874;0.000728;Sushi Roll;Medium;846
847;443;0.000369;None;Low;847
848;441;0.000367;Cyber Dog;Low;848
849;295;0.000245;Trash Basket;Medium;0
850;295;0.000245;None;Low;850
851;440;0.000366;None;Medium High;1119
852;443;0.000369;Cyber Cat;Low;852
853;261;0.000217;None;Medium High;24
854;297;0.000247;Book;Low;854
855;588;0.000490;Wooden Cup;Very High;601
856;439;0.000365;1st Edition Book;Medium;856
857;297;0.000247;None;Medium;857
858;291;0.000242;Pocket Knife;Low;0
859;435;0.000362;None;Very High;234
860;435;0.000362;None;Low;860
861;290;0.000241;Cup of Scotch;Medium;861
862;582;0.000485;None;Medium;862
863;298;0.000248;None;Low;1536
864;298;0.000248;None;Low;864
865;584;0.000486;None;Low;865
866;581;0.000484;None;High;866
867;398;0.000331;None;Low;0
868;291;0.000242;None;Medium;0
869;291;0.000242;Sandwich;Medium;869
870;583;0.000485;None;Low;870
871;299;0.000249;Sandwich;Medium;871
872;589;0.000490;None;Low;872
873;264;0.000220;Wrench;Low;0
874;298;0.000248;None;Low;874
875;436;0.000363;None;Medium High;875
876;292;0.000243;Cyber Cat;High;895
877;440;0.000366;Golden Bitcoin Skull of Fate;Low;877
878;292;0.000243;None;Low;878
879;299;0.000249;Book;Low;879
880;1459;0.001215;None;Low;949
881;873;0.000727;Newspaper;Low;881
882;440;0.000366;Cyber Cat;Low;882
883;294;0.000245;Book;Low;1944
884;298;0.000248;Book;High;884
885;1452;0.001210;Pocket Knife;Low;0
886;441;0.000367;Wooden Cup;Medium;886
887;588;0.000490;None;Medium;887
888;299;0.000249;Knife;Low;52
889;437;0.000364;None;Low;1926
890;299;0.000249;Newspaper;High;890
891;297;0.000247;None;Medium;891
892;440;0.000366;Sushi Roll;High;1895
893;444;0.000370;None;Low;455
894;580;0.000483;None;Low;894
895;441;0.000367;None;Low;1277
896;872;0.000726;Trash Basket;Low;896
897;581;0.000484;None;Low;897
898;1451;0.001209;1 Bitcoin;Medium;0
899;441;0.000367;None;Low;899
900;879;0.000732;Wrench;Low;566
901;290;0.000241;None;High;0
902;586;0.000488;Cyber Dog;Medium;1335
903;437;0.000364;Gold Cake;High;903
904;879;0.000732;None;Medium High;900
905;299;0.000249;Cyber Cat;Low;0
906;295;0.000245;Sandwich;High;906
907;440;0.000366;Wooden Cup;Medium;907
908;443;0.000369;None;Medium;908
909;298;0.000248;Wrench;Medium;0
910;580;0.000483;Sandwich;Low;910
911;437;0.000364;None;Very High;911
912;295;0.000245;Cup of Scotch;Low;912
913;293;0.000244;None;Medium;913
914;875;0.000729;None;Low;378
915;297;0.000247;Cup of Scotch;Low;915
916;875;0.000729;None;Low;0
917;583;0.000485;Sushi Roll;Medium;918
918;439;0.000365;None;High;914
919;872;0.000726;None;High;0
920;439;0.000365;None;Medium High;920
921;442;0.000368;Wrench;Low;921
922;292;0.000243;None;Low;922
923;299;0.000249;None;Medium;90
924;396;0.000330;Sandwich;Medium;68
925;585;0.000487;Pocket Knife;Very High;925
926;585;0.000487;None;Very High;926
927;298;0.000248;Sandwich;Low;927
928;874;0.000728;None;Low;0
929;290;0.000241;Sandwich;Medium;929
930;436;0.000363;None;Low;930
931;876;0.000730;Trash Basket;Low;931
932;296;0.000246;1st Edition Book;High;61
933;299;0.000249;None;High;933
934;298;0.000248;Wrench;High;1730
935;586;0.000488;Sushi Roll;Low;935
936;585;0.000487;Trash Basket;Low;414
937;296;0.000246;Trash Basket;Low;937
938;394;0.000328;Wrench;Low;0
939;292;0.000243;None;Medium High;939
940;588;0.000490;Sandwich;Low;940
941;435;0.000362;Trash Basket;Low;941
942;443;0.000369;Sushi Roll;Low;934
943;580;0.000483;None;Low;943
944;435;0.000362;Wooden Cup;Low;0
945;444;0.000370;Knife;Low;782
946;268;0.000223;1 Dogecoin;Very High;0
947;293;0.000244;Wooden Cup;Medium;0
948;392;0.000326;None;Medium High;0
949;298;0.000248;Gold Cake;High;880
950;1300;0.001083;None;Low;276
951;299;0.000249;Pocket Knife;?;951
952;1452;0.001210;None;Very High;902
953;297;0.000247;Pocket Knife;Low;958
954;295;0.000245;None;Medium High;954
955;441;0.000367;None;Medium High;955
956;265;0.000220;None;Low;1358
957;264;0.000220;None;Medium High;0
958;269;0.000224;Gold Cake;Low;0
959;585;0.000487;None;Low;959
960;298;0.000248;Cup of Scotch;Low;374
961;299;0.000249;Newspaper;Medium;961
962;297;0.000247;Wrench;High;962
963;580;0.000483;None;Medium;963
964;296;0.000246;None;Medium;0
965;295;0.000245;Wooden Cup;Low;965
966;290;0.000241;None;Medium;966
967;297;0.000247;Trash Basket;Low;967
968;292;0.000243;None;Low;968
969;290;0.000241;None;Low;998
970;262;0.000218;Nuclear Bomb;Medium High;0
971;299;0.000249;Sushi Roll;Low;971
972;585;0.000487;None;Low;972
973;293;0.000244;None;High;973
974;1452;0.001210;Pocket Knife;High;974
975;785;0.000654;Cyber Hamster;Medium;0
976;297;0.000247;Wrench;Medium High;976
977;441;0.000367;None;Low;923
978;268;0.000223;None;Low;315
979;293;0.000244;None;Low;0
980;588;0.000490;Book;Medium;980
981;872;0.000726;1 Bitcoin;Low;981
982;441;0.000367;Cup of Scotch;Low;982
983;440;0.000366;None;Low;1792
984;299;0.000249;Newspaper;Medium;984
985;871;0.000725;1 Dogecoin;Low;985
986;297;0.000247;None;Low;986
987;299;0.000249;None;Very High;987
988;441;0.000367;Cyber Dog;Medium High;988
989;441;0.000367;None;High;989
990;438;0.000365;None;Low;991
991;295;0.000245;Trash Basket;Low;919
992;441;0.000367;None;Medium;992
993;876;0.000730;Sushi Roll;Low;990
994;440;0.000366;Cyber Dog;Low;402
995;292;0.000243;None;Medium;994
996;587;0.000489;Wooden Cup;Low;996
997;584;0.000486;None;Low;0
998;290;0.000241;None;Low;777
999;582;0.000485;Wooden Cup;Medium;978
1000;296;0.000246;Cyber Cat;Low;615
1001;297;0.000247;Wooden Cup;Low;1001
1002;874;0.000728;None;Low;1002
1003;437;0.000364;None;Low;0
1004;292;0.000243;Pocket Knife;Low;0
1005;443;0.000369;Wooden Cup;Low;1005
1006;1455;0.001212;None;Low;0
1007;295;0.000245;None;Low;1894
1008;439;0.000365;Cup of Scotch;Medium High;1008
1009;295;0.000245;None;Low;1009
1010;297;0.000247;Cup of Scotch;Medium;488
1011;298;0.000248;None;Medium;1010
1012;587;0.000489;Sandwich;Medium;14
1013;435;0.000362;Sushi Roll;Low;1013
1014;442;0.000368;Cup of Scotch;Low;1014
1015;290;0.000241;Wooden Cup;High;1015
1016;290;0.000241;Book;Medium;0
1017;444;0.000370;None;Low;1017
1018;298;0.000248;Sandwich;Low;0
1019;581;0.000484;None;Medium;1019
1020;296;0.000246;None;Low;0
1021;295;0.000245;Trash Basket;Low;781
1022;580;0.000483;Wrench;Medium;1022
1023;295;0.000245;None;Low;175
1024;295;0.000245;None;Very High;1363
1025;878;0.000731;Cheat Codes;Medium;1025
1026;875;0.000729;Cyber Dog;Medium;1026
1027;299;0.000249;1st Edition Book;Medium;1027
1028;292;0.000243;None;Medium High;1018
1029;290;0.000241;Book;Medium High;1029
1030;589;0.000490;Cup of Scotch;Medium;1030
1031;441;0.000367;Wrench;Medium;1031
1032;439;0.000365;Book;Low;108
1033;298;0.000248;1st Edition Book;Low;1033
1034;586;0.000488;Sandwich;Medium;1034
1035;442;0.000368;None;Very High;1035
1036;296;0.000246;Wooden Cup;Medium High;1036
1037;442;0.000368;1st Edition Book;Low;1037
1038;297;0.000247;Book;Low;1038
1039;265;0.000220;Pocket Knife;Medium;0
1040;291;0.000242;Book;Medium;1040
1041;299;0.000249;None;Medium;0
1042;443;0.000369;Pocket Knife;Medium;1042
1043;441;0.000367;Wooden Cup;Medium High;917
1044;290;0.000241;Trash Basket;Medium High;1044
1045;292;0.000243;None;Medium;1045
1046;294;0.000245;None;High;1046
1047;297;0.000247;Sandwich;Low;0
1048;298;0.000248;None;Medium;1032
1049;580;0.000483;Knife;High;1049
1050;441;0.000367;Book;Medium;1451
1051;585;0.000487;1 Dogecoin;Low;977
1052;293;0.000244;None;Very High;1051
1053;291;0.000242;Wrench;Low;1053
1054;436;0.000363;Pocket Knife;Low;1054
1055;299;0.000249;None;Medium High;1579
1056;291;0.000242;Cyber Cat;Low;1056
1057;438;0.000365;None;Low;1057
1058;435;0.000362;Cyber Hamster;Low;1058
1059;583;0.000485;Wooden Cup;Medium;1059
1060;1450;0.001208;None;Medium;1061
1061;295;0.000245;None;Medium;1060
1062;298;0.000248;Pocket Knife;Low;1062
1063;394;0.000328;None;Low;0
1064;298;0.000248;None;Low;1064
1065;581;0.000484;Book;Low;1065
1066;294;0.000245;Knife;Low;243
1067;439;0.000365;Pocket Knife;Low;1067
1068;294;0.000245;None;Low;1134
1069;292;0.000243;None;Low;1313
1070;294;0.000245;Sushi Roll;High;1069
1071;443;0.000369;None;Low;1071
1072;436;0.000363;Cyber Dog;Medium;1072
1073;291;0.000242;None;Medium;1075
1074;437;0.000364;Wooden Cup;Medium;1074
1075;441;0.000367;Pocket Knife;Medium;0
1076;438;0.000365;None;Medium;1076
1077;440;0.000366;None;Low;0
1078;296;0.000246;Sandwich;Medium;1078
1079;584;0.000486;None;Medium High;1079
1080;298;0.000248;None;Medium;1080
1081;588;0.000490;None;Medium;0
1082;294;0.000245;Sushi Roll;Medium High;1082
1083;439;0.000365;None;Low;0
1084;580;0.000483;Book;Medium;1084
1085;439;0.000365;None;Medium;1085
1086;870;0.000725;Trash Basket;Low;1086
1087;298;0.000248;None;Low;1087
1088;1450;0.001208;None;Medium;1088
1089;292;0.000243;Newspaper;Low;1012
1090;439;0.000365;Wooden Cup;Medium;1090
1091;588;0.000490;None;Very High;1091
1092;443;0.000369;Knife;Low;901
1093;262;0.000218;Wrench;High;368
1094;293;0.000244;1st Edition Book;High;338
1095;295;0.000245;Sandwich;Low;1095
1096;587;0.000489;None;Very High;1096
1097;299;0.000249;None;?;1097
1098;583;0.000485;None;High;1068
1099;297;0.000247;Wrench;Low;1099
1100;586;0.000488;Pocket Knife;Medium;1100
1101;298;0.000248;None;Medium;544
1102;293;0.000244;Pocket Knife;Low;1102
1103;873;0.000727;1 Dogecoin;?;547
1104;268;0.000223;Golden Bitcoin Skull of Fate;Medium High;0
1105;878;0.000731;None;Medium High;1105
1106;437;0.000364;None;High;0
1107;581;0.000484;Newspaper;Low;0
1108;1452;0.001210;Newspaper;High;1108
1109;296;0.000246;Pocket Knife;High;1109
1110;879;0.000732;Gold Cake;Medium;1110
1111;873;0.000727;None;Low;1848
1112;584;0.000486;None;High;0
1113;292;0.000243;Book;Low;113
1114;582;0.000485;Newspaper;Medium High;1114
1115;442;0.000368;None;Low;1115
1116;298;0.000248;None;Low;1116
1117;292;0.000243;None;Low;1117
1118;586;0.000488;Cyber Penguin;Low;1118
1119;1458;0.001215;None;Very High;1913
1120;298;0.000248;Wooden Cup;Low;1120
1121;438;0.000365;None;Medium High;0
1122;443;0.000369;None;High;1122
1123;582;0.000485;None;Medium;1123
1124;436;0.000363;Newspaper;Medium;1329
1125;297;0.000247;None;Low;1125
1126;586;0.000488;None;Low;0
1127;296;0.000246;Cup of Scotch;Low;1127
1128;290;0.000241;None;Low;0
1129;294;0.000245;None;Medium High;1129
1130;294;0.000245;None;Low;1907
1131;583;0.000485;Newspaper;Medium High;1131
1132;587;0.000489;Gold Cake;Medium;1132
1133;583;0.000485;None;Medium;1133
1134;291;0.000242;Cheat Codes;Low;786
1135;876;0.000730;None;Medium;1135
1136;444;0.000370;Newspaper;Medium High;1136
1137;876;0.000730;Cyber Cat;Low;1137
1138;296;0.000246;Cyber Hamster;High;1138
1139;395;0.000329;Trash Basket;Medium High;797
1140;587;0.000489;None;Low;1140
1141;298;0.000248;Sushi Roll;Low;1141
1142;292;0.000243;None;Medium;1142
1143;580;0.000483;Knife;Low;1143
1144;299;0.000249;None;Low;1144
1145;290;0.000241;Wrench;Medium;1145
1146;292;0.000243;None;Medium High;1146
1147;293;0.000244;None;Low;1147
1148;291;0.000242;None;Low;1148
1149;291;0.000242;None;Low;1149
1150;293;0.000244;Wooden Cup;Low;1150
1151;261;0.000217;None;Medium;0
1152;293;0.000244;Wooden Cup;Medium;1152
1153;580;0.000483;None;Low;1153
1154;876;0.000730;None;High;1154
1155;298;0.000248;Sushi Roll;Low;705
1156;297;0.000247;None;Low;1156
1157;879;0.000732;None;High;0
1158;260;0.000216;Sandwich;Low;0
1159;586;0.000488;Trash Basket;Low;1159
1160;437;0.000364;Trash Basket;Very High;1160
1161;297;0.000247;None;Low;1161
1162;874;0.000728;Book;Very High;0
1163;443;0.000369;Wrench;Low;1163
1164;440;0.000366;1 Dogecoin;Low;1164
1165;293;0.000244;None;Low;1165
1166;266;0.000221;Newspaper;Low;31
1167;443;0.000369;None;Medium;1998
1168;296;0.000246;None;Low;1168
1169;290;0.000241;None;Low;1169
1170;393;0.000327;None;Medium;22
1171;268;0.000223;None;Low;0
1172;393;0.000327;Gold Cake;Medium;0
1173;526;0.000438;None;Low;0
1174;295;0.000245;Trash Basket;Low;1174
1175;437;0.000364;Sandwich;Low;1175
1176;291;0.000242;Cup of Scotch;Medium;1176
1177;393;0.000327;None;Low;0
1178;295;0.000245;None;High;1178
1179;437;0.000364;None;Medium High;1179
1180;586;0.000488;Cyber Hamster;Low;1180
1181;585;0.000487;Trash Basket;High;1181
1182;879;0.000732;None;Medium;85
1183;295;0.000245;None;Low;1183
1184;585;0.000487;None;Low;1184
1185;291;0.000242;None;Low;1185
1186;587;0.000489;Knife;Low;1186
1187;299;0.000249;Cup of Scotch;Medium;1187
1188;296;0.000246;Pocket Knife;Medium;1188
1189;296;0.000246;None;Medium High;1189
1190;296;0.000246;Cup of Scotch;Low;1190
1191;298;0.000248;Sushi Roll;Medium High;783
1192;293;0.000244;Sushi Roll;Medium High;0
1193;290;0.000241;Sandwich;Medium;1193
1194;1300;0.001083;Sandwich;Low;183
1195;298;0.000248;None;Low;0
1196;588;0.000490;None;Medium High;1196
1197;298;0.000248;None;Medium;1197
1198;436;0.000363;None;Low;1198
1199;586;0.000488;None;Medium;1199
1200;444;0.000370;None;Medium;1200
1201;521;0.000434;Gold Cake;Low;0
1202;293;0.000244;Cheat Codes;High;1779
1203;294;0.000245;None;High;1203
1204;589;0.000490;None;Low;1204
1205;874;0.000728;None;Very High;1205
1206;442;0.000368;None;Low;1206
1207;294;0.000245;Pocket Knife;Very High;1207
1208;295;0.000245;Book;Medium;1208
1209;297;0.000247;Wooden Cup;Low;1209
1210;437;0.000364;None;Medium High;1210
1211;873;0.000727;Wooden Cup;Medium High;1980
1212;438;0.000365;Wooden Cup;Low;1212
1213;587;0.000489;Cup of Scotch;Medium;1213
1214;529;0.000440;Sandwich;Medium High;997
1215;441;0.000367;None;Low;1215
1216;295;0.000245;Wooden Cup;Medium;1216
1217;588;0.000490;None;Medium High;1217
1218;290;0.000241;None;Medium High;1218
1219;441;0.000367;None;Low;1219
1220;291;0.000242;None;Low;1220
1221;297;0.000247;Trash Basket;Low;1221
1222;293;0.000244;None;Medium High;1202
1223;394;0.000328;Gold Cake;Low;0
1224;296;0.000246;1 Bitcoin;Medium;1224
1225;292;0.000243;Wrench;Low;1225
1226;292;0.000243;Sushi Roll;Medium;1226
1227;436;0.000363;1st Edition Book;Low;1227
1228;293;0.000244;Pocket Knife;Low;1228
1229;294;0.000245;None;Low;1229
1230;584;0.000486;Sushi Roll;Low;1230
1231;292;0.000243;Wrench;Low;359
1232;583;0.000485;Wrench;Low;1
1233;1459;0.001215;1 Dogecoin;Low;1233
1234;444;0.000370;Book;Low;1234
1235;294;0.000245;Sushi Roll;Medium;1235
1236;877;0.000730;None;Low;1236
1237;589;0.000490;Wrench;Very High;1155
1238;443;0.000369;Knife;Low;472
1239;439;0.000365;Wrench;Medium;1000
1240;295;0.000245;None;Very High;1240
1241;292;0.000243;Wrench;Low;1241
1242;292;0.000243;Book;Low;0
1243;296;0.000246;Book;Low;1243
1244;294;0.000245;None;Very High;1244
1245;1454;0.001211;Nuclear Bomb;Medium High;831
1246;295;0.000245;None;Low;1246
1247;437;0.000364;Cyber Dog;Low;1247
1248;1452;0.001210;Trash Basket;Low;1248
1249;441;0.000367;None;Very High;1249
1250;299;0.000249;None;Low;1157
1251;294;0.000245;Newspaper;High;1251
1252;296;0.000246;Wooden Cup;Medium;1252
1253;580;0.000483;Wooden Cup;Medium;1253
1254;295;0.000245;Knife;High;1254
1255;437;0.000364;None;Low;1255
1256;444;0.000370;None;Low;1256
1257;296;0.000246;None;Low;1257
1258;296;0.000246;Wrench;Medium High;1258
1259;583;0.000485;None;Low;0
1260;299;0.000249;Wrench;Medium;0
1261;439;0.000365;Sushi Roll;Low;1261
1262;582;0.000485;None;Low;1262
1263;290;0.000241;1 Bitcoin;Medium High;1782
1264;528;0.000440;None;Low;0
1265;296;0.000246;None;Low;1906
1266;436;0.000363;Nuclear Bomb;Very High;172
1267;438;0.000365;Wooden Cup;High;1267
1268;292;0.000243;None;Low;1268
1269;588;0.000490;Book;Low;0
1270;291;0.000242;None;Low;1270
1271;291;0.000242;Pocket Knife;High;1271
1272;443;0.000369;None;Medium;1272
1273;292;0.000243;Wooden Cup;Low;1273
1274;293;0.000244;Cyber Cat;Medium;1274
1275;299;0.000249;None;Low;1275
1276;872;0.000726;None;Medium;1276
1277;437;0.000364;None;High;192
1278;580;0.000483;1st Edition Book;Low;1278
1279;582;0.000485;None;Low;1279
1280;442;0.000368;Knife;Low;1280
1281;297;0.000247;Sandwich;Low;1281
1282;440;0.000366;None;Low;1282
1283;293;0.000244;Wooden Cup;High;1283
1284;299;0.000249;None;Low;1284
1285;290;0.000241;None;Low;1285
1286;877;0.000730;Wrench;Low;0
1287;780;0.000650;Newspaper;Low;0
1288;583;0.000485;None;Low;1288
1289;879;0.000732;None;Medium High;1289
1290;296;0.000246;None;High;2086
1291;291;0.000242;Wooden Cup;Low;1291
1292;443;0.000369;None;Medium;1591
1293;295;0.000245;Sandwich;Low;482
1294;876;0.000730;Sushi Roll;Low;1293
1295;295;0.000245;None;Low;1295
1296;443;0.000369;None;Low;0
1297;299;0.000249;None;Low;1297
1298;298;0.000248;Cup of Scotch;Medium;645
1299;296;0.000246;None;Low;1299
1300;295;0.000245;None;Low;1300
1301;294;0.000245;None;Low;1301
1302;268;0.000223;Gold Cake;Medium;0
1303;294;0.000245;None;Medium High;1303
1304;435;0.000362;Nuclear Bomb;Medium;49
1305;297;0.000247;Newspaper;Low;1305
1306;1453;0.001210;None;Low;0
1307;298;0.000248;1st Edition Book;High;1177
1308;298;0.000248;None;Low;1308
1309;291;0.000242;Wooden Cup;Low;1309
1310;292;0.000243;Cup of Scotch;Medium;741
1311;292;0.000243;Cyber Dog;Medium High;1311
1312;580;0.000483;None;Low;1312
1313;874;0.000728;None;High;228
1314;438;0.000365;None;Low;1314
1315;299;0.000249;None;Low;1315
1316;295;0.000245;Book;Low;1316
1317;292;0.000243;Sushi Roll;Low;1317
1318;395;0.000329;None;Low;0
1319;292;0.000243;Cyber Cat;Medium;970
1320;264;0.000220;None;Low;0
1321;291;0.000242;None;Low;0
1322;294;0.000245;None;Low;1322
1323;292;0.000243;Wooden Cup;Low;1323
1324;440;0.000366;1st Edition Book;Low;1324
1325;870;0.000725;None;Low;1325
1326;438;0.000365;Sandwich;Low;1326
1327;520;0.000433;Wooden Cup;Low;0
1328;291;0.000242;None;Low;1328
1329;436;0.000363;None;Medium;5
1330;267;0.000222;None;Medium;0
1331;296;0.000246;Wooden Cup;High;889
1332;439;0.000365;None;Low;1332
1333;296;0.000246;None;Low;1333
1334;399;0.000332;Cheat Codes;Low;624
1335;1452;0.001210;None;Medium;1331
1336;266;0.000221;None;Low;1341
1337;874;0.000728;None;Medium;1231
1338;293;0.000244;Sushi Roll;Low;1338
1339;296;0.000246;None;Medium;1339
1340;522;0.000435;Cyber Hamster;High;0
1341;398;0.000331;None;Medium High;0
1342;297;0.000247;None;High;1753
1343;296;0.000246;None;Low;1343
1344;588;0.000490;None;Very High;1344
1345;399;0.000332;None;Very High;1083
1346;291;0.000242;None;Low;1346
1347;1451;0.001209;Knife;Low;1347
1348;588;0.000490;None;High;1348
1349;298;0.000248;None;Medium;1349
1350;586;0.000488;None;Medium High;1350
1351;443;0.000369;None;Low;1351
1352;443;0.000369;None;Low;1352
1353;1457;0.001214;Cup of Scotch;Low;1390
1354;439;0.000365;Wrench;Medium High;0
1355;439;0.000365;Sandwich;Medium High;1355
1356;297;0.000247;Trash Basket;Low;1356
1357;872;0.000726;Sandwich;Low;1357
1358;294;0.000245;Wrench;High;257
1359;587;0.000489;Pocket Knife;Low;1359
1360;293;0.000244;Cyber Cat;Low;0
1361;589;0.000490;Book;Low;1361
1362;294;0.000245;None;Medium;1362
1363;438;0.000365;1 Bitcoin;Very High;1111
1364;290;0.000241;None;Medium;1364
1365;297;0.000247;None;Low;1365
1366;874;0.000728;None;Medium High;1366
1367;296;0.000246;None;High;1367
1368;293;0.000244;Pocket Knife;Low;1368
1369;589;0.000490;None;Medium;1369
1370;1454;0.001211;Sandwich;Low;1370
1371;290;0.000241;None;High;0
1372;1452;0.001210;None;Low;1372
1373;587;0.000489;None;Low;0
1374;437;0.000364;Wrench;Medium;1374
1375;290;0.000241;Newspaper;Low;1375
1376;444;0.000370;None;High;1376
1377;580;0.000483;None;Low;0
1378;293;0.000244;Knife;Low;1378
1379;294;0.000245;Newspaper;High;1379
1380;583;0.000485;None;Low;0
1381;435;0.000362;None;Medium;1381
1382;297;0.000247;Wooden Cup;Medium High;1382
1383;295;0.000245;Sushi Roll;Medium;0
1384;439;0.000365;None;Low;1384
1385;444;0.000370;None;Low;168
1386;290;0.000241;None;Low;1386
1387;290;0.000241;Wrench;Medium;1387
1388;441;0.000367;None;Low;1388
1389;443;0.000369;None;Medium;1389
1390;444;0.000370;Newspaper;Medium;1879
1391;440;0.000366;Wrench;Low;1391
1392;297;0.000247;None;Medium;638
1393;872;0.000726;None;Medium;1393
1394;266;0.000221;None;Medium;0
1395;580;0.000483;None;Low;1395
1396;294;0.000245;Cyber Cat;Low;1396
1397;1457;0.001214;Knife;Medium High;1397
1398;444;0.000370;None;Medium;1398
1399;874;0.000728;None;High;0
1400;294;0.000245;None;Low;1400
1401;298;0.000248;None;Low;294
1402;296;0.000246;None;Low;1402
1403;262;0.000218;Gold Cake;Low;0
1404;295;0.000245;Gold Cake;Low;1404
1405;444;0.000370;Wooden Cup;Low;1405
1406;298;0.000248;Cyber Cat;Low;1406
1407;291;0.000242;None;Low;1407
1408;267;0.000222;Wooden Cup;High;0
1409;292;0.000243;1st Edition Book;Low;1409
1410;291;0.000242;None;Low;1410
1411;266;0.000221;None;Low;1411
1412;438;0.000365;None;Medium;1412
1413;293;0.000244;None;Low;1413
1414;876;0.000730;None;Low;1414
1415;297;0.000247;None;Low;0
1416;584;0.000486;None;High;1416
1417;291;0.000242;None;Low;1417
1418;294;0.000245;None;Low;1418
1419;294;0.000245;None;Medium High;256
1420;443;0.000369;Wrench;Medium;1419
1421;435;0.000362;Gold Cake;Low;1421
1422;438;0.000365;Trash Basket;Low;1422
1423;438;0.000365;None;Medium High;1423
1424;293;0.000244;None;Low;1420
1425;1456;0.001213;Knife;Low;1622
1426;438;0.000365;None;Medium;1401
1427;290;0.000241;1 Dogecoin;Low;1425
